"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGF2BP2",8.13315940085843e-37,-1.55553657710544,0.033,0.107,2.09119794514872e-32
"ABL2",9.38749107947703e-37,-0.671182448113263,0.353,0.519,2.41371170635513e-32
"PCOLCE2",1.03372636197453e-36,-1.05917216684602,0.05,0.138,2.65791722190891e-32
"EFHD2",1.45141150869354e-36,-0.545654338774033,0.422,0.61,3.73186927115283e-32
"RGS5",1.47921445320507e-36,3.1036880328512,0.144,0.026,3.80335620208089e-32
"CPVL",1.83988161241759e-36,1.04573851800132,0.614,0.525,4.73070360184811e-32
"YME1L1",1.9097835732908e-36,-0.616320390688441,0.302,0.475,4.9104355236453e-32
"CORO1C",2.32312964405453e-36,-0.627635461447903,0.323,0.494,5.97323094079301e-32
"BAG3",2.36344403164267e-36,-0.263685520237618,0.416,0.621,6.07688729415963e-32
"ODC1",3.08329428352086e-36,-0.946765352577296,0.131,0.261,7.92776626178884e-32
"C5AR1",3.40639622514897e-36,0.863887181867171,0.607,0.485,8.75852597410303e-32
"ABRACL",3.42053490559609e-36,-0.48423486602342,0.553,0.716,8.79487934926868e-32
"PDSS1",4.13589082836712e-36,-1.48792436606112,0.031,0.103,1.06342024978976e-31
"TNFSF14",4.86940655231616e-36,-1.15438508264216,0.065,0.162,1.25202181273153e-31
"GLIPR2",5.46899366678413e-36,-0.715008351734853,0.274,0.439,1.40618765160354e-31
"ADAM10",6.05721817031049e-36,-0.804987477468074,0.236,0.394,1.55743193595023e-31
"HIF1A-AS2",9.82256012857614e-36,-1.11382154476083,0.031,0.104,2.5255766602595e-31
"ZDHHC20",1.04546826870322e-35,-0.98860679195901,0.107,0.226,2.68810801248972e-31
"MFSD1",1.17077024677296e-35,0.633242289063004,0.705,0.624,3.01028445850263e-31
"H3F3C",1.21679052691659e-35,-0.558951315639146,0.115,0.241,3.12861180280793e-31
"CFHR2",1.25986005910205e-35,5.68220036247356,0.103,0.003,3.2393521839632e-31
"SLC2A2",1.49198569122505e-35,4.42443314568383,0.108,0.006,3.83619360927785e-31
"JOSD2",1.56477663886317e-35,-0.641709528075178,0.267,0.434,4.02335369384499e-31
"ADIRF",1.78918135486139e-35,2.43370365957169,0.151,0.032,4.6003430996196e-31
"SPINT2",1.91192492781335e-35,-0.73956296627676,0.318,0.479,4.91594137439369e-31
"CLU",2.52430367571588e-35,0.42013203937017,0.561,0.325,6.49048961100067e-31
"AC133644.2",3.42939066874231e-35,-1.18593522279073,0.046,0.129,8.81764928747023e-31
"LAMTOR5",3.68569449037993e-35,-0.39914844871852,0.646,0.796,9.47665767366489e-31
"SDC3",3.88777673004447e-35,1.26046094171216,0.324,0.169,9.99625152829035e-31
"PLVAP",4.01948761342208e-35,3.9673447888467,0.116,0.011,1.03349065516308e-30
"DPCD",6.87287631646209e-35,-0.997400873570576,0.063,0.159,1.76715395848873e-30
"CAPNS1",6.9237393738876e-35,-0.624081970450272,0.383,0.547,1.78023186781398e-30
"CYP2C9",6.95739900830914e-35,5.85764463449154,0.1,0.003,1.78888643301645e-30
"CREB5",7.03004940873928e-35,-0.615283033996012,0.147,0.286,1.80756630397504e-30
"TUBA1C",7.31486680934238e-35,-0.670150116099413,0.382,0.544,1.88079855401811e-30
"HSP90B1",9.66172930627945e-35,-0.51853056911432,0.787,0.876,2.48422383923057e-30
"PDXK",1.05267206145498e-34,-0.598665550880132,0.34,0.513,2.70663040441305e-30
"MAP2K3",1.085946035146e-34,-0.627989420819802,0.277,0.445,2.79218444556739e-30
"TRIM25",1.23094350424087e-34,-1.25008182885751,0.067,0.163,3.16500193810412e-30
"ZNF812P",1.23468141590758e-34,4.57964068473515,0.109,0.008,3.17461285658156e-30
"EIF5",1.27086257041754e-34,-0.45314044828739,0.597,0.754,3.26764184105758e-30
"ACTG1",1.27734033633544e-34,-0.31652110396185,0.941,0.977,3.28429747278567e-30
"YWHAG",1.47478601820658e-34,-0.585549684035738,0.304,0.473,3.79196981001275e-30
"KIAA0101",1.86160372702909e-34,-1.16447110428761,0.098,0.21,4.7865555029372e-30
"APOA5",1.91717656613706e-34,4.83535222112157,0.102,0.005,4.92944438685161e-30
"MT-ND4L",2.0722240533464e-34,-0.323499675737566,0.65,0.798,5.32810248596426e-30
"CRYAB",2.72517939805107e-34,-0.555600655730883,0.035,0.109,7.0069812682689e-30
"THEMIS2",2.77343628798001e-34,0.951220530780718,0.471,0.336,7.13105938365421e-30
"RAMP1",3.16009082723607e-34,2.11087441121465,0.17,0.049,8.12522553498939e-30
"C14orf2",3.53511059376216e-34,-0.300573313402044,0.877,0.947,9.08947635868127e-30
"NEK6",3.5371307095745e-34,-0.74819608276394,0.168,0.308,9.09467048045796e-30
"LTA4H",4.34376576292895e-34,-0.884448092975258,0.28,0.427,1.11686905296429e-29
"NFKB1",4.58775694816398e-34,-0.417736433368897,0.419,0.6,1.17960406651192e-29
"TMED3",4.95207275617714e-34,-0.77051725323785,0.215,0.361,1.27327694706827e-29
"AKR1C3",5.1353497038829e-34,1.83175689623147,0.202,0.072,1.32040111586237e-29
"COLEC12",5.3179418705479e-34,-0.995878458917847,0.13,0.253,1.36734921375528e-29
"CKLF",5.61946127495555e-34,-0.759455500672094,0.564,0.704,1.44487588301657e-29
"EBPL",5.66916486720716e-34,-0.903175978703613,0.127,0.251,1.4576556706563e-29
"TM4SF4",6.21858446400451e-34,2.28343212590479,0.179,0.056,1.59892243738484e-29
"SMOX",9.25236505933035e-34,-1.14290264836716,0.044,0.125,2.37896810405502e-29
"CP",1.08906471697194e-33,2.54489081772214,0.145,0.032,2.80020320027826e-29
"GADD45GIP1",1.09300374236172e-33,-0.50336159137341,0.497,0.673,2.81033122236046e-29
