"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VPS13C",0.00753015087576811,0.596328220790756,0.202,0.192,1
"GNLY",0.0076649002928771,0.469786816498734,0.087,0.105,1
"MEMO1",0.00786753264891913,0.763864508021393,0.115,0.102,1
"C12orf29",0.00789926685629116,0.495765743171948,0.27,0.267,1
"TRAF3IP1",0.00801254561199851,0.560486672586207,0.129,0.116,1
"CTAGE5",0.00825028021094385,0.335585571325914,0.177,0.207,1
"PTBP3",0.00831216941448109,0.455967634763009,0.324,0.325,1
"BRI3BP",0.00844738060682846,0.64094836353028,0.152,0.139,1
"SUGP2",0.00890596479555364,0.276034199537359,0.207,0.24,1
"U2AF1L4",0.00893766590460147,0.442128623421145,0.218,0.207,1
"ZSCAN16-AS1",0.00906894646472422,0.250707415857835,0.595,0.628,1
"HPCAL1",0.0092517967596766,0.376828597422841,0.317,0.319,1
"AGFG1",0.00970372241139042,0.637030173636578,0.2,0.189,1
"ICT1",0.0100881626208888,0.326284021878762,0.463,0.499,1
"ZNF787",0.0101190356774609,0.588814320726387,0.131,0.117,1
"SERPINF2",0.0106267731521743,0.41120174171765,0.635,0.696,1
"CCDC84",0.0106697833745504,0.442425513531662,0.124,0.11,1
"IL6ST",0.0107276109898979,0.327732759410109,0.497,0.52,1
"SMARCA2",0.0111088193735631,0.379876757604863,0.115,0.134,1
"PHGDH",0.0113900460916222,0.255366709137,0.557,0.631,1
"ISCU",0.0115501479419162,0.263853676306221,0.616,0.672,1
"ATP5L2",0.0115576311545802,0.259065768237234,0.102,0.12,1
"PEX10",0.0116423838954553,0.420216008886165,0.234,0.229,1
"BTN3A2",0.0116996923822148,0.47670507646435,0.238,0.228,1
"MCCC2",0.0118254237768207,0.37790395729743,0.304,0.305,1
"SNTA1",0.0118776698262226,0.264910155889677,0.136,0.158,1
"HMGCS1",0.0119276382361308,0.358200431361799,0.648,0.708,1
"SGMS1",0.0120056814637037,0.47459773223697,0.178,0.166,1
"GPT2",0.0120201898812439,0.26956941418898,0.268,0.315,1
"AC004951.6",0.0121918902948439,0.419685457730908,0.116,0.137,1
"GNB1",0.0122614077913186,0.331896498725079,0.413,0.429,1
"ZNF83",0.0127761224888204,0.755380769652072,0.163,0.155,1
"EGLN3",0.0132826928241866,0.830927236161707,0.235,0.233,1
"GFOD2",0.0133825017379379,0.405358863747037,0.22,0.21,1
"CLDN12",0.013546959777676,0.457511309033428,0.294,0.29,1
"ACSL3",0.0136503582080148,0.318840626660267,0.461,0.481,1
"CXorf38",0.0138359408033555,0.34186360725992,0.101,0.088,1
"FAM160B1",0.0138472607085314,0.759503995560583,0.114,0.102,1
"VEZT",0.0142140933227098,0.515665005165844,0.281,0.279,1
"PUS7L",0.0143096760796543,0.280750957837104,0.286,0.327,1
"ACOX3",0.0145275537667944,0.395072511783655,0.118,0.104,1
"RAB27A",0.0149950660734594,0.288781956439319,0.233,0.268,1
"PHKA2",0.0150048755573146,0.381057897959717,0.194,0.224,1
"MIR210HG",0.0151149918085565,1.21555703761827,0.143,0.133,1
"SLC16A1-AS1",0.0153232385237194,0.530679311722444,0.113,0.1,1
"YIPF1",0.0153494239523849,0.397464315555413,0.342,0.347,1
"FCF1",0.0154871370973041,0.613173053419242,0.198,0.19,1
"ANKRD12",0.0155589078102037,0.386863674401802,0.448,0.466,1
"PCGF1",0.0159997469560698,0.562018084613642,0.194,0.181,1
"RAPH1",0.0164036548259121,0.63503251639518,0.191,0.182,1
"CASC4",0.0164045298212767,0.457467829517063,0.291,0.289,1
"FOSB",0.0169942199504482,0.646073418150835,0.453,0.49,1
"MGAT4B",0.0171852557828255,0.529013636148735,0.266,0.269,1
"KIAA0368",0.0172643774349928,0.434161511593194,0.165,0.153,1
"KIAA1109",0.0173600879590856,0.256291911806988,0.134,0.154,1
"PDS5A",0.0175671731020079,0.409789417942316,0.314,0.32,1
"PUM2",0.0177004939833348,0.605925510539496,0.278,0.279,1
"WBSCR27",0.0179022969982302,0.405502530545008,0.194,0.184,1
"PANK1",0.0180933435406114,0.29732866736187,0.196,0.227,1
"SNIP1",0.0184514126692299,0.483783034813942,0.117,0.104,1
"USP9X",0.0185017233819146,0.499859753491633,0.297,0.3,1
"ATG4A",0.0185817029834338,0.432735294906017,0.143,0.13,1
"FAM35A",0.0186779285953913,0.423860438082385,0.276,0.27,1
"EGLN1",0.0188378800982533,0.529699125067352,0.411,0.425,1
"RMND1",0.0192707326400062,0.360630024318003,0.272,0.266,1
"NBPF11",0.0193230520951454,0.829096022994811,0.119,0.108,1
"FDX1",0.0194437595824267,0.426591652693414,0.533,0.617,1
"PUSL1",0.0198031929892671,0.53924452233468,0.209,0.202,1
"IDH3G",0.02038070407877,0.382624717882188,0.502,0.539,1
"ANAPC15",0.0205018921734689,0.32970561896495,0.392,0.401,1
"MTIF3",0.0206766785802634,0.258059349406149,0.611,0.626,1
"SULT1C2",0.0211331974421833,0.889849553493416,0.181,0.173,1
"TMEM175",0.0215808198784669,0.499661603450318,0.137,0.126,1
"DUS1L",0.0217567579887394,0.507903960886853,0.232,0.232,1
"GMPR",0.0219868851986288,0.439686539993306,0.16,0.148,1
"SESN1",0.0223454913146896,0.383037074251706,0.103,0.12,1
"IMPAD1",0.0224821879046591,0.455276882053274,0.293,0.301,1
"CBR4",0.0234540368318736,0.474003075538397,0.249,0.245,1
"TRAPPC8",0.0239026744398855,0.358197943064024,0.162,0.186,1
"GDAP2",0.0239492102077148,0.64599720558926,0.167,0.158,1
"HNRNPL",0.0246113397846738,0.318086707173566,0.394,0.405,1
"ZNF224",0.0250456237371974,0.489974322523875,0.109,0.097,1
"AC113189.5",0.0253525454040659,0.695249587098677,0.118,0.108,1
"MTRR",0.0259920113852143,0.383481636883289,0.2,0.19,1
"ARHGEF5",0.0265795842445985,0.619655843423808,0.15,0.141,1
"STIM1",0.0271958403752968,0.417872480646727,0.173,0.163,1
"NR1D1",0.0275900262292799,0.333100236751429,0.209,0.24,1
"KBTBD4",0.0279088906209148,0.290120085167469,0.113,0.101,1
"DBT",0.0279734392920852,0.517169341386362,0.16,0.149,1
"PEF1",0.0279793006486727,0.290374082117313,0.499,0.539,1
"SPG11",0.0282244168473715,0.526763650227005,0.183,0.175,1
"PPM1B",0.0283386130591758,0.439800746636171,0.367,0.377,1
"UBL4A",0.0284310567064337,0.404915021910149,0.288,0.287,1
"GNPDA2",0.0295806736055649,0.394185432149186,0.118,0.106,1
"ATF7IP",0.0298421782224028,0.545688640205552,0.143,0.132,1
"ATL2",0.0303238246333259,0.378378861600524,0.235,0.228,1
"TMEM263",0.030809764689119,0.473552690220215,0.298,0.299,1
"PTPRH",0.0309064486020145,0.310453801004803,0.089,0.104,1
"XPOT",0.0312248483625933,0.258910117543518,0.279,0.318,1
"TBC1D23",0.0313731781815257,0.444734433070957,0.204,0.195,1
"FNDC3B",0.0315658242934889,0.390133705979086,0.353,0.355,1
"FBXO31",0.0322584525795573,0.585811044289585,0.144,0.136,1
"PXDC1",0.0325177336017841,0.606579671291127,0.33,0.341,1
"TRIB3",0.0327378862831668,0.646709875755378,0.372,0.398,1
"GPRC5C",0.0334074097054722,0.276542993659123,0.608,0.64,1
"CHP1",0.0347237329120625,0.352831292641552,0.633,0.673,1
"RCAN1",0.0361591120537759,0.31572036906062,0.226,0.256,1
"TIPARP",0.0362509315215979,0.609735737065445,0.286,0.289,1
"CCNE2",0.0363465986294739,0.826917803917609,0.141,0.132,1
"ATRX",0.0368330757954951,0.324502791008912,0.462,0.48,1
"TAPBPL",0.0368409630430052,0.465241434786194,0.258,0.256,1
"COQ3",0.0383884266671772,0.512026226085564,0.234,0.231,1
"ZDHHC9",0.0384292690814042,0.398423383410924,0.31,0.314,1
"ALPK2",0.0384431230118619,0.526993716985428,0.11,0.1,1
"ARL4C",0.0385923040723205,0.380191104679665,0.089,0.102,1
"GNPNAT1",0.0386764818467336,0.376036512172037,0.386,0.401,1
"TRMT10A",0.0389970979811379,0.515202527556363,0.178,0.168,1
"STARD4",0.0390548410337222,0.398149180319572,0.229,0.265,1
"TSACC",0.039253736030345,0.456949157339428,0.102,0.091,1
"FOSL2",0.0393365066106671,0.293107841990101,0.225,0.214,1
"USP1",0.0396352588480062,0.530181979552136,0.399,0.42,1
"TXLNA",0.0423946578056241,0.274548461730287,0.183,0.207,1
"C11orf24",0.0432528076533911,0.401767966542453,0.239,0.235,1
"MCL1",0.0434425935840864,0.27608011470938,0.68,0.706,1
"NRAS",0.0435244178886441,0.34165652533522,0.392,0.407,1
"SLC38A6",0.0435707267208802,0.559317751551815,0.233,0.231,1
"CLEC2D",0.0436815312182996,0.675211023760341,0.103,0.093,1
"FBXO25",0.0440128176144524,0.274253341897715,0.283,0.327,1
"NCAPG2",0.0443726594154963,0.312074910172043,0.105,0.12,1
"ZBTB18",0.0451676660431515,0.609277890556623,0.194,0.19,1
"THAP4",0.0452628700243487,0.374802363950073,0.232,0.225,1
"ANKRD28",0.0456040339411476,0.801695169070038,0.164,0.158,1
"USP34",0.0458083261103411,0.515463773507606,0.279,0.28,1
"NEDD9",0.0462261714183474,0.948017844369381,0.423,0.454,1
"SPHK2",0.0469421839653327,0.520765682205242,0.145,0.135,1
"LRPPRC",0.0476823868981553,0.335143228487947,0.365,0.38,1
